2025-04-03 14:53:48,399 INFO     Start Init the PLC: PLC-01
2025-04-03 14:53:57,864 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:53:58,687 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:53:58,890 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:53:59,712 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:53:59,929 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:00,750 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:00,954 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:01,764 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:01,966 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:02,785 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:02,990 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:03,800 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:04,006 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:04,817 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:05,022 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:05,828 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:06,030 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:06,849 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:07,050 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:07,868 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:08,076 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:08,883 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:09,090 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:09,900 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:10,103 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:10,923 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:11,126 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:11,939 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:12,146 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:12,954 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:13,162 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:13,983 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:14,188 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:14,996 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:15,202 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:16,012 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:16,217 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:17,036 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:17,241 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:18,048 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:18,254 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:19,076 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:19,284 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:20,102 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:20,303 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:21,119 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:21,322 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:22,144 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:22,347 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:23,157 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:23,363 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:24,172 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:24,376 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:25,183 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:25,389 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:26,204 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:26,409 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:27,223 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:27,426 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:28,236 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:28,442 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:29,262 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:29,469 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:30,280 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:30,484 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:31,299 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:31,503 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:32,314 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:32,519 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:33,341 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:33,553 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:34,357 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:34,564 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:35,377 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:35,583 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:36,396 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:36,603 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:37,425 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:37,641 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:38,480 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:38,685 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:39,508 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:39,725 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:40,534 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:40,741 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:41,546 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:41,753 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:42,576 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:42,780 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:43,590 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:43,795 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:44,616 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:44,818 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:45,639 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:45,844 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:46,659 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:46,866 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:47,689 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:47,895 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:48,717 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:48,922 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:49,737 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:49,944 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:50,750 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:50,953 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:51,761 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:51,964 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:52,783 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:52,988 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:53,798 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:54,000 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:54,807 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:55,010 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:55,832 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:56,046 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:56,858 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:57,060 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:57,871 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:58,099 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:58,919 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:54:59,122 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:54:59,971 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:55:00,182 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:55:00,991 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:55:01,196 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:55:02,020 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:55:02,222 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:55:03,032 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:55:03,240 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:55:04,052 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:55:04,255 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:55:05,068 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:55:05,275 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:55:06,090 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:55:06,298 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:55:07,107 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:55:07,315 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:55:08,124 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:55:08,330 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:55:09,144 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:55:09,351 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:55:10,166 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:55:10,374 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:55:11,188 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:55:11,396 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:55:12,212 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:55:12,417 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:55:13,228 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:55:13,435 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:55:14,249 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:55:14,457 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:55:15,270 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:55:15,478 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:55:16,287 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:55:16,492 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:55:17,300 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:55:17,506 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:55:18,319 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:55:18,526 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:55:19,343 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:55:19,546 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:55:20,360 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:55:20,567 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:55:21,378 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:55:21,586 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:55:22,397 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:55:22,605 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:55:23,418 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:55:23,624 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:55:24,438 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:55:24,645 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:55:25,456 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:55:25,661 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:55:26,473 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:55:26,679 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:55:27,488 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:55:27,694 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:55:28,503 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:55:28,709 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:55:29,523 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:55:29,731 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:55:30,540 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:55:30,746 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:55:31,568 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:55:31,776 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:55:32,588 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:55:32,795 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:55:33,607 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:55:33,814 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:55:34,625 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:55:34,831 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:55:35,645 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:55:35,853 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:55:36,667 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:55:36,874 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:55:37,688 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:55:37,893 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:55:38,707 WARNING  The reply type doesnt match.('powerPlc', 'switches')
